"phys","phys4","phys6","phys8","phys10","school_id","year"
"Push Up ","N/A ","77.8","87.8","N/A","0340311","201516"
"Mile Run/PACER ","N/A ","64.9","80","N/A","0340311","201516"
"All Tests - School ","N/A ","41.2","57.8","N/A","0340311","201516"
"All Tests - District ","29.9 ","25","24.4","62.0","0340311","201516"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0340511","201314"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0340511","201314"
"Push Up ","N/A ","N/A ","N/A ","N/A","0340511","201314"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0340511","201314"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0340511","201314"
"All Tests - District ","30.8 ","26.9 ","23.9 ","64.4","0340511","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0340511","201415"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0340511","201415"
"Push Up ","N/A ","N/A ","N/A ","N/A","0340511","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0340511","201415"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0340511","201415"
"All Tests - District ","35.4 ","31.3 ","27.4 ","56.6","0340511","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0340511","201516"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0340511","201516"
"Push Up ","N/A ","N/A ","N/A ","N/A","0340511","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0340511","201516"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0340511","201516"
"All Tests - District ","29.9 ","25.0 ","24.4 ","62.0","0340511","201516"
"Sit & Reach ","84.4",". ",". ",".","0340611","201314"
"Curl Up ","64.1",". ",". ",".","0340611","201314"
"Push Up ","68.8",". ",". ",".","0340611","201314"
"Mile Run/PACER ","87.5",". ",". ",".","0340611","201314"
"All Tests - School ","40.6",". ",". ",".","0340611","201314"
"All Tests - District ","30.8","26.9 ","23.9 ","64.4","0340611","201314"
"Sit & Reach ","94.2","N/A ","N/A ","N/A","0340611","201415"
"Curl Up ","76.9","N/A ","N/A ","N/A","0340611","201415"
"Push Up ","65.4","N/A ","N/A ","N/A","0340611","201415"
"Mile Run/PACER ","82.7","N/A ","N/A ","N/A","0340611","201415"
"All Tests - School ","40.4","N/A ","N/A ","N/A","0340611","201415"
"All Tests - District ","35.4","31.3 ","27.4 ","56.6","0340611","201415"
"Sit & Reach ","96.2","N/A ","N/A ","N/A","0340611","201516"
"Curl Up ","73.1","N/A ","N/A ","N/A","0340611","201516"
"Push Up ","73.1","N/A ","N/A ","N/A","0340611","201516"
"Mile Run/PACER ","84.6","N/A ","N/A ","N/A","0340611","201516"
"All Tests - School ","50","N/A ","N/A ","N/A","0340611","201516"
"All Tests - District ","29.9","25.0 ","24.4 ","62.0","0340611","201516"
"Sit & Reach ","86.8",". ",". ",".","0340811","201314"
"Curl Up ","79.4",". ",". ",".","0340811","201314"
"Push Up ","38.2",". ",". ",".","0340811","201314"
"Mile Run/PACER ","38.2",". ",". ",".","0340811","201314"
"All Tests - School ","26.5",". ",". ",".","0340811","201314"
"All Tests - District ","30.8","26.9 ","23.9 ","64.4","0340811","201314"
"Sit & Reach ","82.1","N/A ","N/A ","N/A","0340811","201415"
"Curl Up ","98.8","N/A ","N/A ","N/A","0340811","201415"
"Push Up ","40.5","N/A ","N/A ","N/A","0340811","201415"
"Mile Run/PACER ","81","N/A ","N/A ","N/A","0340811","201415"
"All Tests - School ","34.5","N/A ","N/A ","N/A","0340811","201415"
"All Tests - District ","35.4","31.3 ","27.4 ","56.6","0340811","201415"
"Sit & Reach ","87.5","N/A ","N/A ","N/A","0340811","201516"
"Curl Up ","90.9","N/A ","N/A ","N/A","0340811","201516"
"Push Up ","40.9","N/A ","N/A ","N/A","0340811","201516"
"Mile Run/PACER ","84.1","N/A ","N/A ","N/A","0340811","201516"
"All Tests - School ","33","N/A ","N/A ","N/A","0340811","201516"
"All Tests - District ","29.9","25.0 ","24.4 ","62.0","0340811","201516"
"Sit & Reach ","68.3",". ",". ",".","0341011","201314"
"Curl Up ","41.3",". ",". ",".","0341011","201314"
"Push Up ","52.4",". ",". ",".","0341011","201314"
"Mile Run/PACER ","57.1",". ",". ",".","0341011","201314"
"All Tests - School ","9.5",". ",". ",".","0341011","201314"
"All Tests - District ","30.8","26.9 ","23.9 ","64.4","0341011","201314"
"Sit & Reach ","74","N/A ","N/A ","N/A","0341011","201415"
"Curl Up ","54","N/A ","N/A ","N/A","0341011","201415"
"Push Up ","58","N/A ","N/A ","N/A","0341011","201415"
"Mile Run/PACER ","62","N/A ","N/A ","N/A","0341011","201415"
"All Tests - School ","24","N/A ","N/A ","N/A","0341011","201415"
"All Tests - District ","35.4","31.3 ","27.4 ","56.6","0341011","201415"
"Sit & Reach ","83.3","N/A ","N/A ","N/A","0341011","201516"
"Curl Up ","56.7","N/A ","N/A ","N/A","0341011","201516"
"Push Up ","48.3","N/A ","N/A ","N/A","0341011","201516"
"Mile Run/PACER ","71.7","N/A ","N/A ","N/A","0341011","201516"
"All Tests - School ","23.3","N/A ","N/A ","N/A","0341011","201516"
"All Tests - District ","29.9","25.0 ","24.4 ","62.0","0341011","201516"
"Sit & Reach ","72.9",". ",". ",".","0341111","201314"
"Curl Up ","85.4",". ",". ",".","0341111","201314"
"Push Up ","66.7",". ",". ",".","0341111","201314"
"Mile Run/PACER ","81.3",". ",". ",".","0341111","201314"
"All Tests - School ","58.3",". ",". ",".","0341111","201314"
"All Tests - District ","30.8","26.9 ","23.9 ","64.4","0341111","201314"
"Sit & Reach ","87.2","N/A ","N/A ","N/A","0341111","201415"
"Curl Up ","74.4","N/A ","N/A ","N/A","0341111","201415"
"Push Up ","71.8","N/A ","N/A ","N/A","0341111","201415"
"Mile Run/PACER ","76.9","N/A ","N/A ","N/A","0341111","201415"
"All Tests - School ","48.7","N/A ","N/A ","N/A","0341111","201415"
"All Tests - District ","35.4","31.3 ","27.4 ","56.6","0341111","201415"
"Sit & Reach ","87.5","N/A ","N/A ","N/A","0341111","201516"
"Curl Up ","72.9","N/A ","N/A ","N/A","0341111","201516"
"Push Up ","45.8","N/A ","N/A ","N/A","0341111","201516"
"Mile Run/PACER ","70.8","N/A ","N/A ","N/A","0341111","201516"
"All Tests - School ","22.9","N/A ","N/A ","N/A","0341111","201516"
"All Tests - District ","29.9","25.0 ","24.4 ","62.0","0341111","201516"
"Sit & Reach ","83.1",". ",". ",".","0341211","201314"
"Curl Up ","76.1",". ",". ",".","0341211","201314"
"Push Up ","66.2",". ",". ",".","0341211","201314"
"Mile Run/PACER ","78.9",". ",". ",".","0341211","201314"
"All Tests - School ","47.9",". ",". ",".","0341211","201314"
"All Tests - District ","30.8","26.9 ","23.9 ","64.4","0341211","201314"
"Sit & Reach ","91.6","N/A ","N/A ","N/A","0341211","201415"
"Curl Up ","71.1","N/A ","N/A ","N/A","0341211","201415"
"Push Up ","61.4","N/A ","N/A ","N/A","0341211","201415"
"Mile Run/PACER ","57.8","N/A ","N/A ","N/A","0341211","201415"
"All Tests - School ","44.6","N/A ","N/A ","N/A","0341211","201415"
"All Tests - District ","35.4","31.3 ","27.4 ","56.6","0341211","201415"
"Sit & Reach ","88.5","N/A ","N/A ","N/A","0341211","201516"
"Curl Up ","55.1","N/A ","N/A ","N/A","0341211","201516"
"Push Up ","69.2","N/A ","N/A ","N/A","0341211","201516"
"Mile Run/PACER ","44.9","N/A ","N/A ","N/A","0341211","201516"
"All Tests - School ","33.3","N/A ","N/A ","N/A","0341211","201516"
"All Tests - District ","29.9","25.0 ","24.4 ","62.0","0341211","201516"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0341311","201314"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0341311","201314"
"Push Up ","N/A ","N/A ","N/A ","N/A","0341311","201314"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0341311","201314"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0341311","201314"
"All Tests - District ","30.8 ","26.9 ","23.9 ","64.4","0341311","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0341311","201415"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0341311","201415"
"Push Up ","N/A ","N/A ","N/A ","N/A","0341311","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0341311","201415"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0341311","201415"
"All Tests - District ","35.4 ","31.3 ","27.4 ","56.6","0341311","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0341311","201516"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0341311","201516"
"Push Up ","N/A ","N/A ","N/A ","N/A","0341311","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0341311","201516"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0341311","201516"
"All Tests - District ","29.9 ","25.0 ","24.4 ","62.0","0341311","201516"
"Sit & Reach ","84.1",". ",". ",".","0341411","201314"
"Curl Up ","59.4",". ",". ",".","0341411","201314"
"Push Up ","55.1",". ",". ",".","0341411","201314"
"Mile Run/PACER ","55.1",". ",". ",".","0341411","201314"
"All Tests - School ","23.2",". ",". ",".","0341411","201314"
"All Tests - District ","30.8","26.9 ","23.9 ","64.4","0341411","201314"
"Sit & Reach ","81","N/A ","N/A ","N/A","0341411","201415"
"Curl Up ","57.1","N/A ","N/A ","N/A","0341411","201415"
"Push Up ","66.7","N/A ","N/A ","N/A","0341411","201415"
"Mile Run/PACER ","54","N/A ","N/A ","N/A","0341411","201415"
"All Tests - School ","22.2","N/A ","N/A ","N/A","0341411","201415"
"All Tests - District ","35.4","31.3 ","27.4 ","56.6","0341411","201415"
"Sit & Reach ","94.1","N/A ","N/A ","N/A","0341411","201516"
"Curl Up ","74.5","N/A ","N/A ","N/A","0341411","201516"
"Push Up ","54.9","N/A ","N/A ","N/A","0341411","201516"
"Mile Run/PACER ","70.6","N/A ","N/A ","N/A","0341411","201516"
"All Tests - School ","29.4","N/A ","N/A ","N/A","0341411","201516"
"All Tests - District ","29.9","25.0 ","24.4 ","62.0","0341411","201516"
"Sit & Reach ","90",". ",". ",".","0341511","201314"
"Curl Up ","78",". ",". ",".","0341511","201314"
"Push Up ","46",". ",". ",".","0341511","201314"
"Mile Run/PACER ","40",". ",". ",".","0341511","201314"
"All Tests - School ","30",". ",". ",".","0341511","201314"
"All Tests - District ","30.8","26.9 ","23.9 ","64.4","0341511","201314"
"Sit & Reach ","85.2","N/A ","N/A ","N/A","0341511","201415"
"Curl Up ","75.9","N/A ","N/A ","N/A","0341511","201415"
"Push Up ","66.7","N/A ","N/A ","N/A","0341511","201415"
"Mile Run/PACER ","83.3","N/A ","N/A ","N/A","0341511","201415"
"All Tests - School ","48.1","N/A ","N/A ","N/A","0341511","201415"
"All Tests - District ","35.4","31.3 ","27.4 ","56.6","0341511","201415"
"Sit & Reach ","93.6","N/A ","N/A ","N/A","0341511","201516"
"Curl Up ","87.2","N/A ","N/A ","N/A","0341511","201516"
"Push Up ","59.6","N/A ","N/A ","N/A","0341511","201516"
"Mile Run/PACER ","70.2","N/A ","N/A ","N/A","0341511","201516"
"All Tests - School ","38.3","N/A ","N/A ","N/A","0341511","201516"
"All Tests - District ","29.9","25.0 ","24.4 ","62.0","0341511","201516"
"Sit & Reach ","94.1",". ",". ",".","0341611","201314"
"Curl Up ","76.5",". ",". ",".","0341611","201314"
"Push Up ","41.2",". ",". ",".","0341611","201314"
"Mile Run/PACER ","48.5",". ",". ",".","0341611","201314"
"All Tests - School ","20.6",". ",". ",".","0341611","201314"
"All Tests - District ","30.8","26.9 ","23.9 ","64.4","0341611","201314"
"Sit & Reach ","87.7","N/A ","N/A ","N/A","0341611","201415"
"Curl Up ","88.9","N/A ","N/A ","N/A","0341611","201415"
"Push Up ","55.6","N/A ","N/A ","N/A","0341611","201415"
"Mile Run/PACER ","77.8","N/A ","N/A ","N/A","0341611","201415"
"All Tests - School ","42","N/A ","N/A ","N/A","0341611","201415"
"All Tests - District ","35.4","31.3 ","27.4 ","56.6","0341611","201415"
"Sit & Reach ","91.2","N/A ","N/A ","N/A","0341611","201516"
"Curl Up ","75","N/A ","N/A ","N/A","0341611","201516"
"Push Up ","64.7","N/A ","N/A ","N/A","0341611","201516"
"Mile Run/PACER ","75","N/A ","N/A ","N/A","0341611","201516"
"All Tests - School ","20.6","N/A ","N/A ","N/A","0341611","201516"
"All Tests - District ","29.9","25.0 ","24.4 ","62.0","0341611","201516"
"Sit & Reach ","80.6",". ",". ",".","0341711","201314"
"Curl Up ","61.8",". ",". ",".","0341711","201314"
"Push Up ","34.5",". ",". ",".","0341711","201314"
"Mile Run/PACER ","85.5",". ",". ",".","0341711","201314"
"All Tests - School ","21.8",". ",". ",".","0341711","201314"
"All Tests - District ","30.8","26.9 ","23.9 ","64.4","0341711","201314"
"Sit & Reach ","88.6","N/A ","N/A ","N/A","0341711","201415"
"Curl Up ","54.6","N/A ","N/A ","N/A","0341711","201415"
"Push Up ","31.9","N/A ","N/A ","N/A","0341711","201415"
"Mile Run/PACER ","87.6","N/A ","N/A ","N/A","0341711","201415"
"All Tests - School ","23.8","N/A ","N/A ","N/A","0341711","201415"
"All Tests - District ","35.4","31.3 ","27.4 ","56.6","0341711","201415"
"Sit & Reach ","88.6","N/A ","N/A ","N/A","0341711","201516"
"Curl Up ","54.6","N/A ","N/A ","N/A","0341711","201516"
"Push Up ","31.9","N/A ","N/A ","N/A","0341711","201516"
"Mile Run/PACER ","87.6","N/A ","N/A ","N/A","0341711","201516"
"All Tests - School ","23.8","N/A ","N/A ","N/A","0341711","201516"
"All Tests - District ","29.9","25.0 ","24.4 ","62.0","0341711","201516"
"Sit & Reach ","92.6",". ",". ",".","0341911","201314"
"Curl Up ","89.7",". ",". ",".","0341911","201314"
"Push Up ","88.2",". ",". ",".","0341911","201314"
"Mile Run/PACER ","82.4",". ",". ",".","0341911","201314"
"All Tests - School ","66.2",". ",". ",".","0341911","201314"
"All Tests - District ","30.8","26.9 ","23.9 ","64.4","0341911","201314"
"Sit & Reach ","95.2","N/A ","N/A ","N/A","0341911","201415"
"Curl Up ","96.8","N/A ","N/A ","N/A","0341911","201415"
"Push Up ","82.5","N/A ","N/A ","N/A","0341911","201415"
"Mile Run/PACER ","87.3","N/A ","N/A ","N/A","0341911","201415"
"All Tests - School ","71.4","N/A ","N/A ","N/A","0341911","201415"
"All Tests - District ","35.4","31.3 ","27.4 ","56.6","0341911","201415"
"Sit & Reach ","87.7","N/A ","N/A ","N/A","0341911","201516"
"Curl Up ","93","N/A ","N/A ","N/A","0341911","201516"
"Push Up ","78.9","N/A ","N/A ","N/A","0341911","201516"
"Mile Run/PACER ","80.7","N/A ","N/A ","N/A","0341911","201516"
"All Tests - School ","57.9","N/A ","N/A ","N/A","0341911","201516"
"All Tests - District ","29.9","25.0 ","24.4 ","62.0","0341911","201516"
"Sit & Reach ",". ","59.6","66",".","0345111","201314"
"Curl Up ",". ","53.5","59",".","0345111","201314"
"Push Up ",". ","42.1","51.5",".","0345111","201314"
"Mile Run/PACER ",". ","60.5","50",".","0345111","201314"
"All Tests - School ",". ","19.9","19.2",".","0345111","201314"
"All Tests - District ","30.8 ","26.9","23.9","64.4","0345111","201314"
"Sit & Reach ","N/A ","59.5","61.6","N/A","0345111","201415"
"Curl Up ","N/A ","49.7","53.4","N/A","0345111","201415"
"Push Up ","N/A ","41.4","56.7","N/A","0345111","201415"
"Mile Run/PACER ","N/A ","63.1","51.8","N/A","0345111","201415"
"All Tests - School ","N/A ","19.3","22.5","N/A","0345111","201415"
"All Tests - District ","35.4 ","31.3","27.4","56.6","0345111","201415"
"Sit & Reach ","N/A ","53.8","58.9","N/A","0345111","201516"
"Curl Up ","N/A ","45.9","37.8","N/A","0345111","201516"
"Push Up ","N/A ","35.3","33.6","N/A","0345111","201516"
"Mile Run/PACER ","N/A ","63","44.7","N/A","0345111","201516"
"All Tests - School ","N/A ","10.9","9.9","N/A","0345111","201516"
"All Tests - District ","29.9 ","25","24.4","62.0","0345111","201516"
"Sit & Reach ",". ","52.6","59.8",".","0345211","201314"
"Curl Up ",". ","74.1","72.8",".","0345211","201314"
"Push Up ",". ","81.4","70.8",".","0345211","201314"
"Mile Run/PACER ",". ","71.4","59.2",".","0345211","201314"
"All Tests - School ",". ","32.8","28.6",".","0345211","201314"
"All Tests - District ","30.8 ","26.9","23.9","64.4","0345211","201314"
"Sit & Reach ","N/A ","70.2","66.8","N/A","0345211","201415"
"Curl Up ","N/A ","82.4","81.2","N/A","0345211","201415"
"Push Up ","N/A ","64.9","60.8","N/A","0345211","201415"
"Mile Run/PACER ","N/A ","71.2","59.6","N/A","0345211","201415"
"All Tests - School ","N/A ","40","25.2","N/A","0345211","201415"
"All Tests - District ","35.4 ","31.3","27.4","56.6","0345211","201415"
"Sit & Reach ","N/A ","56.9","71","N/A","0345211","201516"
"Curl Up ","N/A ","67","68.2","N/A","0345211","201516"
"Push Up ","N/A ","73.8","63.9","N/A","0345211","201516"
"Mile Run/PACER ","N/A ","74.5","56.2","N/A","0345211","201516"
"All Tests - School ","N/A ","29.2","29.9","N/A","0345211","201516"
"All Tests - District ","29.9 ","25","24.4","62.0","0345211","201516"
"Sit & Reach ",". ",". ",". ","92","0346111","201314"
"Curl Up ",". ",". ",". ","93.1","0346111","201314"
"Push Up ",". ",". ",". ","74","0346111","201314"
"Mile Run/PACER ",". ",". ",". ","67.8","0346111","201314"
"All Tests - School ",". ",". ",". ","64.4","0346111","201314"
"All Tests - District ","30.8 ","26.9 ","23.9 ","64.4","0346111","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","91.2","0346111","201415"
"Curl Up ","N/A ","N/A ","N/A ","97.5","0346111","201415"
"Push Up ","N/A ","N/A ","N/A ","81.7","0346111","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","63.7","0346111","201415"
"All Tests - School ","N/A ","N/A ","N/A ","57","0346111","201415"
"All Tests - District ","35.4 ","31.3 ","27.4 ","56.6","0346111","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","93.4","0346111","201516"
"Curl Up ","N/A ","N/A ","N/A ","97.2","0346111","201516"
"Push Up ","N/A ","N/A ","N/A ","84.4","0346111","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","68.3","0346111","201516"
"All Tests - School ","N/A ","N/A ","N/A ","62.2","0346111","201516"
"All Tests - District ","29.9 ","25.0 ","24.4 ","62","0346111","201516"
"Sit & Reach ",". ",". ",". ","* ","0346211","201314"
"Curl Up ","N/A ","N/A ","N/A ","N/A ","0346211","201314"
"Push Up ","N/A ","N/A ","N/A ","N/A ","0346211","201314"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A ","0346211","201314"
"All Tests - School ","N/A ","N/A ","N/A ","N/A ","0346211","201314"
"All Tests - District ","30.8 ","26.9 ","23.9 ","64.4 ","0346211","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","0.0","0346211","201415"
"Curl Up ","N/A ","N/A ","N/A ","*","0346211","201415"
"Push Up ","N/A ","N/A ","N/A ","*","0346211","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","*","0346211","201415"
"All Tests - School ","N/A ","N/A ","N/A ","0.0","0346211","201415"
"All Tests - District ","35.4 ","31.3 ","27.4 ","56.6","0346211","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","*","0346211","201516"
"Curl Up ","N/A ","N/A ","N/A ","0.0","0346211","201516"
"Push Up ","N/A ","N/A ","N/A ","0.0","0346211","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","*","0346211","201516"
"All Tests - School ","N/A ","N/A ","N/A ","0.0","0346211","201516"
"All Tests - District ","29.9 ","25.0 ","24.4 ","62.0","0346211","201516"
"Sit & Reach ","92.8",". ",". ",".","0350211","201314"
"Curl Up ","78.4",". ",". ",".","0350211","201314"
"Push Up ","69.4",". ",". ",".","0350211","201314"
"Mile Run/PACER ","91.9",". ",". ",".","0350211","201314"
"All Tests - School ","58.6",". ",". ",".","0350211","201314"
"All Tests - District ","71.4","77.5 ","85.2 ","72.5","0350211","201314"
"Sit & Reach ","83","N/A ","N/A ","N/A","0350211","201415"
"Curl Up ","100","N/A ","N/A ","N/A","0350211","201415"
"Push Up ","100","N/A ","N/A ","N/A","0350211","201415"
"Mile Run/PACER ","96.6","N/A ","N/A ","N/A","0350211","201415"
"All Tests - School ","79.5","N/A ","N/A ","N/A","0350211","201415"
"All Tests - District ","72.5","76.7 ","73.6 ","68.1","0350211","201415"
"Sit & Reach ","91.4","N/A ","N/A ","N/A","0350211","201516"
"Curl Up ","97.5","N/A ","N/A ","N/A","0350211","201516"
"Push Up ","95.1","N/A ","N/A ","N/A","0350211","201516"
"Mile Run/PACER ","91.4","N/A ","N/A ","N/A","0350211","201516"
"All Tests - School ","85.2","N/A ","N/A ","N/A","0350211","201516"
"All Tests - District ","78.2","78.4 ","75.6 ","77.0","0350211","201516"
"Sit & Reach ","84.8",". ",". ",".","0350511","201314"
"Curl Up ","80.3",". ",". ",".","0350511","201314"
"Push Up ","93.9",". ",". ",".","0350511","201314"
"Mile Run/PACER ","86.4",". ",". ",".","0350511","201314"
"All Tests - School ","63.6",". ",". ",".","0350511","201314"
"All Tests - District ","71.4","77.5 ","85.2 ","72.5","0350511","201314"
"Sit & Reach ","90.9","N/A ","N/A ","N/A","0350511","201415"
"Curl Up ","98.5","N/A ","N/A ","N/A","0350511","201415"
"Push Up ","93.9","N/A ","N/A ","N/A","0350511","201415"
"Mile Run/PACER ","90.9","N/A ","N/A ","N/A","0350511","201415"
"All Tests - School ","78.8","N/A ","N/A ","N/A","0350511","201415"
"All Tests - District ","72.5","76.7 ","73.6 ","68.1","0350511","201415"
"Sit & Reach ","94.1","N/A ","N/A ","N/A","0350511","201516"
"Curl Up ","89.7","N/A ","N/A ","N/A","0350511","201516"
"Push Up ","97.1","N/A ","N/A ","N/A","0350511","201516"
"Mile Run/PACER ","92.6","N/A ","N/A ","N/A","0350511","201516"
"All Tests - School ","79.4","N/A ","N/A ","N/A","0350511","201516"
"All Tests - District ","78.2","78.4 ","75.6 ","77.0","0350511","201516"
"Sit & Reach ","92.1",". ",". ",".","0350611","201314"
"Curl Up ","84.2",". ",". ",".","0350611","201314"
"Push Up ","89.5",". ",". ",".","0350611","201314"
"Mile Run/PACER ","94.7",". ",". ",".","0350611","201314"
"All Tests - School ","73.7",". ",". ",".","0350611","201314"
"All Tests - District ","71.4","77.5 ","85.2 ","72.5","0350611","201314"
"Sit & Reach ","93","N/A ","N/A ","N/A","0350611","201415"
"Curl Up ","68.4","N/A ","N/A ","N/A","0350611","201415"
"Push Up ","89.5","N/A ","N/A ","N/A","0350611","201415"
"Mile Run/PACER ","98.2","N/A ","N/A ","N/A","0350611","201415"
"All Tests - School ","54.4","N/A ","N/A ","N/A","0350611","201415"
"All Tests - District ","72.5","76.7 ","73.6 ","68.1","0350611","201415"
"Sit & Reach ","94.7","N/A ","N/A ","N/A","0350611","201516"
"Curl Up ","97.4","N/A ","N/A ","N/A","0350611","201516"
"Push Up ","98.7","N/A ","N/A ","N/A","0350611","201516"
"Mile Run/PACER ","97.4","N/A ","N/A ","N/A","0350611","201516"
"All Tests - School ","89.5","N/A ","N/A ","N/A","0350611","201516"
"All Tests - District ","78.2","78.4 ","75.6 ","77.0","0350611","201516"
"Sit & Reach ","81.8",". ",". ",".","0350711","201314"
"Curl Up ","100",". ",". ",".","0350711","201314"
"Push Up ","98.7",". ",". ",".","0350711","201314"
"Mile Run/PACER ","100",". ",". ",".","0350711","201314"
"All Tests - School ","80.5",". ",". ",".","0350711","201314"
"All Tests - District ","71.4","77.5 ","85.2 ","72.5","0350711","201314"
"Sit & Reach ","92.5","N/A ","N/A ","N/A","0350711","201415"
"Curl Up ","98.5","N/A ","N/A ","N/A","0350711","201415"
"Push Up ","94","N/A ","N/A ","N/A","0350711","201415"
"Mile Run/PACER ","100","N/A ","N/A ","N/A","0350711","201415"
"All Tests - School ","86.6","N/A ","N/A ","N/A","0350711","201415"
"All Tests - District ","72.5","76.7 ","73.6 ","68.1","0350711","201415"
"Sit & Reach ","87","N/A ","N/A ","N/A","0350711","201516"
"Curl Up ","92.8","N/A ","N/A ","N/A","0350711","201516"
"Push Up ","98.6","N/A ","N/A ","N/A","0350711","201516"
"Mile Run/PACER ","98.6","N/A ","N/A ","N/A","0350711","201516"
"All Tests - School ","81.2","N/A ","N/A ","N/A","0350711","201516"
"All Tests - District ","78.2","78.4 ","75.6 ","77.0","0350711","201516"
"Sit & Reach ","98.8",". ",". ",".","0351311","201314"
"Curl Up ","96.5",". ",". ",".","0351311","201314"
"Push Up ","96.5",". ",". ",".","0351311","201314"
"Mile Run/PACER ","88.4",". ",". ",".","0351311","201314"
"All Tests - School ","83.7",". ",". ",".","0351311","201314"
"All Tests - District ","71.4","77.5 ","85.2 ","72.5","0351311","201314"
"Sit & Reach ","66.2","N/A ","N/A ","N/A","0351311","201415"
"Curl Up ","95.8","N/A ","N/A ","N/A","0351311","201415"
"Push Up ","91.5","N/A ","N/A ","N/A","0351311","201415"
"Mile Run/PACER ","93","N/A ","N/A ","N/A","0351311","201415"
"All Tests - School ","59.2","N/A ","N/A ","N/A","0351311","201415"
"All Tests - District ","72.5","76.7 ","73.6 ","68.1","0351311","201415"
"Sit & Reach ","72.7","N/A ","N/A ","N/A","0351311","201516"
"Curl Up ","97.4","N/A ","N/A ","N/A","0351311","201516"
"Push Up ","87","N/A ","N/A ","N/A","0351311","201516"
"Mile Run/PACER ","93.5","N/A ","N/A ","N/A","0351311","201516"
"All Tests - School ","55.8","N/A ","N/A ","N/A","0351311","201516"
"All Tests - District ","78.2","78.4 ","75.6 ","77.0","0351311","201516"
"Sit & Reach ",". ","87.2","93.2",".","0355111","201314"
"Curl Up ",". ","96.9","99.1",".","0355111","201314"
"Push Up ",". ","88.6","94.3",".","0355111","201314"
"Mile Run/PACER ",". ","94.6","95.2",".","0355111","201314"
"All Tests - School ",". ","77.5","85.2",".","0355111","201314"
"All Tests - District ","71.4 ","77.5","85.2","72.5","0355111","201314"
"Sit & Reach ","N/A ","86.6","84.8","N/A","0355111","201415"
"Curl Up ","N/A ","96.5","97.9","N/A","0355111","201415"
"Push Up ","N/A ","88","89.7","N/A","0355111","201415"
"Mile Run/PACER ","N/A ","92","87.1","N/A","0355111","201415"
"All Tests - School ","N/A ","76.7","73.6","N/A","0355111","201415"
"All Tests - District ","72.5 ","76.7","73.6","68.1","0355111","201415"
"Sit & Reach ","N/A ","86.1","88.7","N/A","0355111","201516"
"Curl Up ","N/A ","96.3","96.5","N/A","0355111","201516"
"Push Up ","N/A ","91.3","88.1","N/A","0355111","201516"
"Mile Run/PACER ","N/A ","93.3","91.3","N/A","0355111","201516"
"All Tests - School ","N/A ","78.4","75.6","N/A","0355111","201516"
"All Tests - District ","78.2 ","78.4","75.6","77.0","0355111","201516"
"Sit & Reach ",". ",". ",". ","82.4","0356111","201314"
"Curl Up ",". ",". ",". ","97.8","0356111","201314"
"Push Up ",". ",". ",". ","91.6","0356111","201314"
"Mile Run/PACER ",". ",". ",". ","84.2","0356111","201314"
"All Tests - School ",". ",". ",". ","72.5","0356111","201314"
"All Tests - District ","71.4 ","77.5 ","85.2 ","72.5","0356111","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","77","0356111","201415"
"Curl Up ","N/A ","N/A ","N/A ","97.9","0356111","201415"
"Push Up ","N/A ","N/A ","N/A ","89","0356111","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","88.7","0356111","201415"
"All Tests - School ","N/A ","N/A ","N/A ","68.1","0356111","201415"
